company_id,name,description,company_size,state,country,city,zip_code,address,url
1009,IBM,"At IBM, we do more than work. We create. We create as technologists, developers, and engineers. We create with our partners. We create with our competitors. If you're searching for ways to make the world work better through technology and infrastructure, software and consulting, then we want to work with you.

We're here to help every creator turn their ""what if"" into what is. Let's create something that will change everything.",7.0,NY,US,"Armonk, New York",10504,International Business Machines Corp.,https://www.linkedin.com/company/ibm
1025,Hewlett Packard Enterprise,"Official LinkedIn of Hewlett Packard Enterprise, the global edge-to-cloud company. Sharing our passion and purpose through technology and innovation. ",7.0,Texas,US,Houston,77389,1701 E Mossy Oaks Rd Spring,https://www.linkedin.com/company/hewlett-packard-enterprise
1028,Oracle,"We’re a cloud technology company that provides organizations around the world with computing infrastructure and software to help them innovate, unlock efficiencies and become more effective. We also created the world’s first – and only – autonomous database to help organize and secure our customers’ data.
 
Oracle Cloud Infrastructure offers higher performance, security, and cost savings. It is designed so businesses can move workloads easily from on-premises systems to the cloud, and between cloud and on-premises and other clouds. Oracle Cloud applications provide business leaders with modern applications that help them innovate, attain sustainable growth, and become more resilient. 
 
The work we do is not only transforming the world of business--it's helping defend governments, and advance scientific and medical research. From nonprofits to companies of all sizes, millions of people use our tools to streamline supply chains, make HR more human, quickly pivot to a new financial plan, and connect data and people around the world.  

At work, we embrace diversity, encourage personal and professional growth, and celebrate a global team of passionate people developing innovative technologies that help people and companies tackle real-world problems head-on.

If you’d like to join us, please visit our Careers page: https://www.oracle.com/corporate/careers/

For investor news, SEC filings, and financial information about Oracle (NYSE:ORCL), please visit https://investor.oracle.com/home/.
 
Follow us on Twitter: https://twitter.com/oracle 
Like our page on Facebook: https://www.facebook.com/Oracle/ 
Follow us on Instagram: https://www.instagram.com/oracle/
",7.0,Texas,US,Austin,78741,2300 Oracle Way,https://www.linkedin.com/company/oracle
1044,PwC,"At PwC, our purpose is to build trust in society and solve important problems. We’re a network of firms in 152 countries with over 327,000 people who are committed to delivering quality in assurance, advisory and tax services. Find out more and tell us what matters to you by visiting us at www.pwc.com.  PwC refers to the PwC network and/or one or more of its member firms, each of which is a separate legal entity.

Content on this page has been prepared for general information only and is not intended to be relied upon as accounting, tax or professional advice. Please reach out to your advisors for specific advice.",7.0,0,GB,0,0,1 Embankment Place,https://www.linkedin.com/company/pwc
1073,EY,"EY exists to build a better working world, helping create long-term value for clients, people and society and build trust in the capital markets.

Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.

Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.

Find out more about the EY global network http://ey.com/en_gl/legal-statement",7.0,0,GB,London,SE1 2DA,6 More London Place,https://www.linkedin.com/company/ernstandyoung
1103,Verizon,"You want more out of a career. A place to share your ideas freely — even if they’re daring or different. Where the true you can shine through. A space to create and connect with people who truly care. And where there’s the flexibility to focus on the passions that matter most.

Our network is built by people like you. We’re a human network that reaches across the globe and works behind the scenes. We anticipate, lead, and believe that listening is where learning begins. In crisis and in celebration, we come together—lifting up our communities and striving to make an impact to move the world forward.

So, if you're fueled by purpose, and powered by persistence, explore a career with us. Here, you’ll discover the rigor it takes to make a difference and the fulfillment that comes with living the #NetworkLife.",7.0,NJ,US,Basking Ridge,07920-1097,One Verizon Way,https://www.linkedin.com/company/verizon
1259,Atos,"This account discusses mainly (but not exclusively) the activities of Tech Foundations - the Atos Group business line leading in managed services, focusing on hybrid cloud & infrastructure, employee experience and technology services, through decarbonized, automated and AI-enabled solutions.

Eviden designs the scope composed of Atos’ digital, cloud, big data and security business lines. It will be a global leader in data-driven, trusted and sustainable digital transformation. Visit Eviden: https://www.linkedin.com/company/eviden/ and eviden.com

Atos is a global leader in digital transformation with 95,000 employees and annual revenue of c. €11 billion. European number one in cybersecurity, cloud and high-performance computing, the Group provides tailored end-to-end solutions for all industries in 69 countries. A pioneer in decarbonization services and products, Atos is committed to a secure and decarbonized digital for its clients Atos is a SE (Societas Europaea), listed on Euronext Paris.

The purpose of Atos is to help design the future of the information space. Its expertise and services support the development of knowledge, education and research in a multicultural approach and contribute to the development of scientific and technological excellence. Across the world, the Group enables its customers and employees, and members of societies at large to live, work and develop sustainably, in a safe and secure information space.",7.0,0,FR,95877 Bezons,0,80 Quai Voltaire,https://www.linkedin.com/company/atos
1281,Unisys,"We are a global technology solutions company that powers breakthroughs for the world’s leading organizations. These solutions — digital workplace, cloud, applications & infrastructure, enterprise computing and business process solutions — help people overcome obstacles and not only reach their greatest potential but go beyond it. 

For more information about how we deliver for our clients, visit https://www.unisys.com/.",7.0,Pennsylvania,US,Blue Bell,19422,801 Lakeview Drive,https://www.linkedin.com/company/unisys
1283,Infosys,"Infosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.

",7.0,Karnataka,IN,Bangalore,560100,Infosys Limited,https://www.linkedin.com/company/infosys
1318,Wipro,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With nearly 245,000 employees and business partners across 65 countries, we deliver on the promise of helping our clients, colleagues, and communities thrive in an ever-changing world.
Wipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law.",7.0,Karnataka,IN,Bangalore,560035,Doddakannelli,https://www.linkedin.com/company/wipro
1353,Tata Consultancy Services,"Tata Consultancy Services is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses in their transformation journeys for over 55 years. Its consulting-led, cognitive powered, portfolio of business, technology and engineering services and solutions is delivered through its unique Location Independent Agile™ delivery model, recognized as a benchmark of excellence in software development.  

A part of the Tata group, India's largest multinational business group, TCS has over 603,305 of the world’s best-trained consultants in 55 countries. The company generated consolidated revenues of US $27.9 billion in the fiscal year ended March 31, 2023, and is listed on the BSE and the NSE in India. TCS' proactive stance on climate change and award-winning work with communities across the world have earned it a place in leading sustainability indices such as the MSCI Global Sustainability Index and the FTSE4Good Emerging Index. For more information, visit www.tcs.com   

*Caution against fraudulent job offers*: TCS doesn't charge any fee throughout the recruitment process. Refer here: on.tcs.com/3i9X5BU",7.0,Maharashtra,IN,Mumbai,400001,Tata Consultancy Services,https://www.linkedin.com/company/tata-consultancy-services
1360,National Computer Systems,"WHY CHOOSE NCS ?
Top 5 reasons why clients choose NCS as their partners
Work Force Specialist
While we provide highly qualified employees, our values lies in our stategic and innovative workforce management
Seamless Coordination with your Hiring Managers
We act as support team for your managers. Whether you need last minute fill-ins, or resource to manage your temporary needs, we can provide a seamless solution that gives the support you need, when and where you need it.
Most Cost Effective
We help to reduce overhead. You can trim labor costs, reduce benefits expenses and greatly limit overtime expenses.
Access to Experienced Candidates
By offering competitive benefits and wages, we're able to attract the most qualified and proven talent.
To ensure our candidates are good fit for your position, each employee is pre-screened and qualified through NCS's 10-steps review process.

We are here to help you
When you need something, we are there to address your concerns and help with the any last minutes needs. We pride ourselves on our responsiveness and personal service.",3.0,0,0,0,0,0,https://www.linkedin.com/company/national-computer-systems
1403,Booz Allen Hamilton,"Trusted to transform missions with the power of tomorrow’s technologies, Booz Allen Hamilton advances the nation’s most critical civil, defense, and national security priorities. We lead, invest, and invent where it’s needed most—at the forefront of complex missions, using innovation to define the future. We combine our in-depth expertise in AI and cybersecurity with leading-edge technology and engineering practices to deliver impactful solutions. Combining more than 100 years of strategic consulting expertise with the perspectives of diverse talent, we ensure results by integrating technology with an enduring focus on our clients. We’re first to the future—moving missions forward to realize our purpose: Empower People to Change the World.",7.0,VA,US,McLean,22102,8283 Greensboro Drive,https://www.linkedin.com/company/booz-allen-hamilton
1415,CGI,"Insights you can act on

Founded in 1976, CGI is among the largest IT and business consulting services firms in the world. We are insights-driven and outcomes-based to help accelerate returns on your investments. Across 21 industries in 400 locations worldwide, we provide comprehensive, scalable and sustainable IT and business consulting services that are informed globally and delivered locally.

We value your opinions and welcome your comments and questions on our posts here on LinkedIn. Please keep a polite, professional and constructive tone. We remove comments containing objectionable language and derogatory views. We do not allow content that is unrelated to the subject, and we remove discriminatory and racist comments as well as spam and advertising. 

Note that content on this page contains general information regarding CGI’s services and initiatives and should not be considered direct business advice. To engage in a discussion with one of our experts, please contact us directly at info@cgi.com.",7.0,Quebec,CA,Montreal,H3G 1T4,Boulevard West,https://www.linkedin.com/company/cgi
1494,Avaya,"At Avaya, we give our customers the freedom to take their business in the directions that benefit them most. We provide the paths for both customers and their employees where every moment big and small can drive in the moment, memorable experiences. The journey is theirs at the pace that makes sense for them with the innovation without disruption they need now and the solutions they can invest in the future.",6.0,New Jersey,US,Morristown,07960,350 Mount Kemble Ave,https://www.linkedin.com/company/avaya
1597,BMC Software,"BMC helps customers run and reinvent their businesses with open, scalable, and modular solutions to complex IT problems. BMC works with 86% of the Forbes Global 50 and customers and partners around the world to create their future. With our history of innovation, industry-leading automation, operations, and service management solutions, combined with unmatched flexibility, we help organizations free up time and space to become an Autonomous Digital Enterprise that conquers the opportunities ahead.",6.0,Texas,US,Houston,77042,2103 Citywest Blvd,https://www.linkedin.com/company/bmc-software
1614,SAIC,"SAIC® is a premier Fortune 500® technology integrator focused on advancing the power of technology and innovation to serve and protect our world. Our robust portfolio of offerings across the defense, space, civilian and intelligence markets includes secure high-end solutions in mission IT, enterprise IT, engineering services and professional services. We integrate emerging technology, rapidly and securely, into mission critical operations that modernize and enable critical national imperatives.

We are approximately 24,000 strong; driven by mission, united by purpose, and inspired by opportunities. SAIC is an Equal Opportunity Employer, fostering a culture of diversity, equity and inclusion, which is core to our values and important to attract and retain exceptional talent. Headquartered in Reston, Virginia, SAIC has annual revenues of approximately $7.4 billion. For more information, visit saic.com. For ongoing news, please visit our newsroom.",7.0,VA,US,Reston,20190,12010 Sunset Hills Road,https://www.linkedin.com/company/saicinc
1680,Cognizant,"Cognizant (Nasdaq-100: CTSH) engineers modern businesses. We help our clients modernize technology, reimagine processes and transform experiences so they can stay ahead in our fast-changing world. Together, we’re improving everyday life. See how at www.cognizant.com or @cognizant.",7.0,New Jersey,US,Teaneck,07666,300 Frank W Burr Blvd,https://www.linkedin.com/company/cognizant
1756,HCLTech,"HCLTech is a global technology company, home to more than 224,000 people across 60 countries, delivering industry-leading capabilities centered around digital, engineering, cloud and AI, powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services. Consolidated revenues as of 12 months ending December 2023 totaled $13.1 billion. To learn how we can supercharge progress for you, visit hcltech.com.",7.0,Uttar Pradesh,IN,Noida,201301,0,https://www.linkedin.com/company/hcltech
1869,Capco Energy Solutions,"Capco Energy Solutions is the Energy industry focused division of Capco, a fully independent, global management and technology consultancy.  For nearly 20 years we have combined innovative thinking with deep industry knowledge to deliver business consulting, digital transformation and technology  services to energy markets including Commodity Trading & Risk Management; Utilities & Retail Energy; Transportation & Logistics; and Oil & Gas.  Our collaborative and efficient approach helps clients reduce costs, and manage risk and regulatory change while increasing revenues.  We are thinkers, innovators and disruptors.  We are small enough to care, but large enough to matter.  
 
Visit us at www.capco.com/energy",5.0,TX,US,Houston,77010,1221 Lamar Street,https://www.linkedin.com/company/capcoenergysolutions
1905,General Dynamics Information Technology,"GDIT is a global technology and professional services company that delivers consulting, technology and mission services to every major agency across the U.S. government, defense and intelligence community.

Our 30,000 experts extract the power of technology to create immediate value and deliver solutions at the edge of innovation. We operate across 30 countries worldwide, offering leading capabilities in digital modernization, AI/ML, Cloud, Cyber and application development. 

GDIT is part of General Dynamics, a global aerospace and defense company. We have shared our clients’ sense of purpose for over half a century and have a have a unique understanding of their missions, complex environments, and a rapidly changing world. 

Together with our clients, we strive to create a safer, smarter world by harnessing the power of deep expertise and advanced technology. ",7.0,Virginia,US,Falls Church,22042,0,https://www.linkedin.com/company/gdit
1951,Thales,"Thales is a global technology leader with more than 77,000 employees on five continents. The Group is investing in digital and “deep tech” innovations – Big Data, artificial intelligence, connectivity, cybersecurity and quantum technology – to build a future we can all trust. Trust is essential for societies to flourish, with humans playing a central role in every critical decision.
Thales's high-tech solutions, services and products help companies, organisations and governments to achieve their goals and ambitions. And in each of our five vertical markets — digital identity and security, defence and security, aerospace, space, and transport — our customers play a vital role in society.",7.0,Île-de-France,FR,Meudon,92190,"6, Rue de la Verrerie",https://www.linkedin.com/company/thales
1956,Sogeti,"Part of the Capgemini Group, Sogeti makes business value through technology for organizations that need to implement innovation at speed and want a local partner with global scale. With a hands-on culture and close proximity to its clients, Sogeti implements solutions that will help organizations work faster, better, and smarter. By combining its agility and speed of implementation through a DevOps approach, Sogeti delivers innovative solutions in quality engineering, cloud and application development, all driven by AI, data and automation.  

For more information please visit www.sogeti.com.",7.0,Paris -  Issy-les-Moulineaux,FR,Paris,92130,"145-151 Quai du Président Roosevelt,",https://www.linkedin.com/company/sogeti
2152,TEKsystems,"We’re TEKsystems. We accelerate business transformation by solving complex technology, business and talent challenges—across the globe. We partner with 80% of the Fortune 500 to create solutions that enable them to capitalize on change. TEKsystems is an Allegis Group company.",7.0,MD,US,Hanover,21076,7437 Race Road,https://www.linkedin.com/company/teksystems
2190,Visa,"Visa (NYSE: V) is a world leader in digital payments, facilitating transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories. Our purpose is to uplift everyone, everywhere by being the best way to pay and be paid. 

Learn more at Visa.com.",7.0,California,US,Foster City,0,900 Metro Center Blvd,https://www.linkedin.com/company/visa
2193,Canon Solutions America,"Canon Solutions America is a Canon U.S.A. Company providing integrated systems technology that comprise one of the strongest solutions portfolios in the document management industry. Our unique and successful heritage is built upon the ability to offer unprecedented levels of service and support.

As a leader in the office equipment industry, Canon Solutions America can show you levels of productivity and performance that once seemed unattainable. Whether it's through our world-renowned networked office systems, graphics systems, copiers, printers, scanners, or fax machines, we provide the technology and support you need to move into the future.

Canon Solutions America is committed to customer satisfaction. Our goal is to continually provide best in class sales, service, and support in order to ensure the level of satisfaction you deserve.

",6.0,NY,US,Melville,11747,One Canon Park,https://www.linkedin.com/company/canon-solutions-america
2206,LexisNexis,"LexisNexis Legal & Professional is a leading global provider of legal, regulatory and business information and analytics that help customers increase productivity, improve decision-making and outcomes, and advance the rule of law around the world.

We help lawyers win cases, manage their work more efficiently, serve their clients better and grow their practices. We assist corporations in better understanding their markets, monitoring their brands and competition, and in mitigating business risk. We collaborate with universities to educate students, and we support nation-building with governments and courts by making laws accessible and strengthening legal infrastructures. We partner with leading global associations and customers to collect evidence against war criminals and provide tools to combat human trafficking.

LexisNexis Legal & Professional, which serves customers in more than 130 countries with 10,000 employees worldwide, is part of RELX Group, a global provider of information and analytics for professional and business customers across industries.",7.0,NY,US,New York City,10017,230 Park Avenue,https://www.linkedin.com/company/lexisnexis
2219,"KBR, Inc.","We deliver science, technology and engineering solutions to governments and companies around the world. KBR employs approximately 34,000 people performing diverse, complex and mission-critical roles in 33 countries. 

KBR is proud to work with its customers across the globe to provide technology, value-added services, and long-term operations and maintenance services to ensure consistent delivery with predictable results. At KBR, We Deliver.",7.0,Texas,US,Houston,77002,601 Jefferson,https://www.linkedin.com/company/kbr-inc
2305,Insight,"Insight Enterprises, Inc. is a Fortune 500 solutions integrator helping organizations accelerate their digital journey to modernize their business and maximize the value of technology. Insight’s technical expertise spans cloud and edge-based transformation solutions, with global scale and optimization built on 33+ years of deep partnerships with the world’s leading and emerging technology providers. ",7.0,Arizona,US,Chandler,85286,2701 E. Insight Way,https://www.linkedin.com/company/insight
2423,Mercer,"At Mercer, we believe in building brighter futures. 
 
Together, our 25,000 employees in over 130 counties are helping redefine the future of work, reshape retirement and investment outcomes, and unlock real health and well-being. 
 
For over 75 years, we’ve provided trusted advice and solutions to build healthier and more sustainable futures for our clients, colleagues and communities. 

Balancing economics and empathy in our approach, we work side by side with you to find solutions to benefit your people and your business. By turning ideas into actions that spark positive change, we help you enrich employees’ lives and careers and drive innovation, progress and performance. Mercer is a business of Marsh McLennan.

Get to know us better: Click the “learn more” button at the top of the page to discover everything we do to help you meet the needs of today and tomorrow. Follow us on Twitter at @Mercer.",7.0,NY,US,New York,10036,"New York, New York",https://www.linkedin.com/company/mercer
2576,Ingram Micro,"Ingram Micro helps businesses Realize the Promise of Technology™. It delivers a full spectrum of global technology and supply chain services to businesses around the world. Deep expertise in technology solutions, mobility, cloud, and supply chain solutions enables its business partners to operate efficiently and successfully in the markets they serve. Unrivaled agility, deep market insights and the trust and dependability that come from decades of proven relationships, set Ingram Micro apart and ahead. More at www.ingrammicro.com",7.0,CA,US,Irvine,92612,"3351 Michelson Drive, Suite 100",https://www.linkedin.com/company/ingram-micro
2980,Lexmark,"Lexmark creates cloud-enabled imaging and IoT technologies that help customers worldwide quickly realize business outcomes. Through a powerful combination of proven technologies and deep industry expertise, Lexmark accelerates business transformation, turning information into insights, data into decisions, and analytics into action. ",7.0,Kentucky,US,Lexington,0,740 W New Circle Rd,https://www.linkedin.com/company/lexmark
3015,Mastercard,"Mastercard is a global technology company in the payments industry. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all.",7.0,NY,US,Purchase,10577,2000 Purchase St,https://www.linkedin.com/company/mastercard
3027,Elsevier,"As a global leader in information and analytics, Elsevier helps researchers and healthcare professionals advance science and improve health outcomes for the benefit of society. We do this by facilitating insights and critical decision-making for customers across the global research and health ecosystems.

In everything we publish, we uphold the highest standards of quality and integrity. We bring that same rigor to our information analytics solutions for researchers, health professionals, institutions and funders.

Elsevier employs 8,700 people worldwide. We have supported the work of our research and health partners for more than 140 years. Growing from our roots in publishing, we offer knowledge and valuable analytics that help our users make breakthroughs and drive societal progress. 

With the Elsevier Foundation and our external Inclusion & Diversity Advisory Board, we work in partnership with diverse stakeholders to advance inclusion and diversity in science, research and healthcare in developing countries and around the world.",6.0,North Holland,NL,Amsterdam,1043,Radarweg 29,https://www.linkedin.com/company/elsevier
