company_id,employee_count,follower_count,time_recorded
729238,268,41433,2024-04-05 19:42:53
2934678,331,121007,2024-04-05 19:42:53
15984730,481,50359,2024-04-05 19:42:53
6618000,11,7478,2024-04-05 19:42:53
75056372,120,64456,2024-04-05 19:42:53
24440,6335,978368,2024-04-05 19:44:08
4787,13125,1504572,2024-04-05 19:44:08
74827,61,70835,2024-04-05 19:45:23
261933,205,49801,2024-04-05 19:45:23
164376,6700,382469,2024-04-05 19:45:23
13345578,279,85916,2024-04-05 19:45:23
27021761,7,6075,2024-04-05 19:46:37
53255,105,71020,2024-04-05 19:46:37
111849,70,21718,2024-04-05 19:47:52
146782,141,126217,2024-04-05 19:47:52
468898,52,23394,2024-04-05 19:49:06
75584764,49,8038,2024-04-05 19:49:06
71373471,164,8725,2024-04-05 19:49:06
1552586,144,8554,2024-04-05 19:49:06
165464,5047,425077,2024-04-05 19:49:06
100977746,4,679,2024-04-05 19:49:06
9280354,125,16699,2024-04-05 19:50:21
1056670,120,106590,2024-04-05 19:50:21
13331595,530,184143,2024-04-05 19:50:21
294125,487,46472,2024-04-05 19:51:35
74604183,11,9863,2024-04-05 19:51:35
26638644,332,20040,2024-04-05 19:51:35
19647,399,12089,2024-04-05 19:52:49
1364228,78,23452,2024-04-05 19:52:49
2121817,411,339347,2024-04-05 19:52:49
52147722,13,1301,2024-04-05 19:52:49
71951690,29,21127,2024-04-05 19:54:03
2985733,943,470739,2024-04-05 19:54:03
34616,143,87605,2024-04-05 19:54:03
860999,9308,122691,2024-04-05 19:54:03
16903,3835,235534,2024-04-05 19:54:03
590130,447,27020,2024-04-05 19:54:03
21541,239,89807,2024-04-05 19:55:17
33146581,5,12197,2024-04-05 19:55:17
14562893,3017,348917,2024-04-05 19:56:32
31474641,29,3054,2024-04-05 19:56:32
482272,360,21801,2024-04-05 19:56:32
80936343,2,39,2024-04-05 19:57:46
15982494,55,1294,2024-04-05 19:59:01
64877765,67,48855,2024-04-05 20:00:15
14379449,121,61102,2024-04-05 20:00:15
10612451,38,17887,2024-04-05 20:00:15
4661,14105,461638,2024-04-05 20:00:15
672814,41,3838,2024-04-05 20:01:30
42054,279,52725,2024-04-05 20:01:30
92633414,18,161,2024-04-05 20:01:30
400176,78,2892,2024-04-05 20:01:30
11243687,146,31340,2024-04-05 20:02:44
15160138,33,11667,2024-04-05 20:03:59
91447303,3681,643191,2024-04-05 20:03:59
3785467,46,14683,2024-04-05 20:05:13
233054,202,20180,2024-04-05 20:05:13
33250915,748,26830,2024-04-05 20:06:27
101396860,1,443,2024-04-05 20:06:27
28126191,1206,73787,2024-04-05 20:06:27
1494955,323,23995,2024-04-05 20:07:41
544277,311,9271,2024-04-05 20:10:20
5345313,446,296051,2024-04-05 20:12:48
22134,447,8880,2024-04-05 20:12:48
79383535,22902,1994376,2024-04-05 20:14:02
14476,1967,22301,2024-04-05 20:15:16
33307792,299,7572,2024-04-05 20:15:16
8716,1628,48883,2024-04-05 20:17:44
2899266,68,33437,2024-04-05 20:17:44
2305,16438,385524,2024-04-05 20:20:13
1668011,44,5619,2024-04-05 20:20:13
477843,99,20938,2024-04-05 20:21:27
1353,594911,14739376,2024-04-05 20:22:41
12770,32923,1207087,2024-04-05 20:23:56
99500489,9,50,2024-04-05 20:23:56
859069,46,6234,2024-04-05 20:23:56
18268450,20,1238,2024-04-05 20:25:10
13624369,121,6148,2024-04-05 20:25:10
933942,502,34717,2024-04-05 20:26:24
67155308,8607,46606,2024-04-05 20:27:38
16388,3578,579238,2024-04-05 20:27:38
54325,1995,112512,2024-04-05 20:30:07
157240,301135,6579735,2024-04-05 20:30:07
101591290,6,213,2024-04-05 20:32:35
7587252,309,12083,2024-04-05 20:32:35
5365891,17,694,2024-04-05 20:35:02
35679573,134,53785,2024-04-05 20:35:02
3325979,233,19521,2024-04-05 20:35:02
2684081,312,439069,2024-04-05 20:36:16
86813252,101903,3773454,2024-04-05 20:40:01
96691,1052,46841,2024-04-05 20:40:01
10298482,61,17548,2024-04-05 20:41:15
107021,287,64858,2024-04-05 20:41:15
165602,2753,482275,2024-04-05 20:42:30
1247220,538,98474,2024-04-05 20:44:58
14631354,327,123366,2024-04-05 20:44:58
1070686,220,123521,2024-04-05 20:46:12
9463631,37,407,2024-04-05 20:46:12
77158779,32,34877,2024-04-05 20:48:42
92489,365,2714,2024-04-05 20:48:42
16690,2211,332234,2024-04-05 20:49:57
102989,156,18369,2024-04-05 20:49:57
1281852,167,61512,2024-04-05 20:49:57
1072429,204,54172,2024-04-05 20:51:11
79482021,59,14621,2024-04-05 20:51:11
5140,18102,1147895,2024-04-05 20:51:11
108854,1172,14563,2024-04-05 20:51:11
84954827,35,4765,2024-04-05 20:51:11
1415,67241,1410929,2024-04-05 20:51:11
1257837,1318,86550,2024-04-05 20:53:41
91369327,5,194,2024-04-05 20:53:41
30324,1460,341693,2024-04-05 20:57:24
279728,31,50174,2024-04-05 20:58:38
167024,10566,336259,2024-04-05 21:01:06
200685,242,14681,2024-04-05 21:01:06
8047188,83,27148,2024-04-05 21:01:06
11115,8842,192581,2024-04-05 21:02:20
77610,101,51083,2024-04-05 21:02:20
18476,2127,964754,2024-04-05 21:04:48
3607929,513,46959,2024-04-05 21:04:48
2543692,122,54023,2024-04-05 21:04:48
52136,208,28043,2024-04-05 21:06:03
5300,17548,1795918,2024-04-05 21:07:17
821065,92,10416,2024-04-05 21:07:17
1318,244594,8662220,2024-04-05 21:08:31
71901687,16,1105,2024-04-05 21:08:31
26793,3510,199175,2024-04-05 21:09:45
1394857,164,135856,2024-04-05 21:09:45
9089,8371,504534,2024-04-05 21:09:45
96692,977,191671,2024-04-05 21:10:59
95750606,22,8683,2024-04-05 21:12:13
1073,349752,8714256,2024-04-05 21:13:28
3815031,222,68548,2024-04-05 21:13:28
7260866,27,2354,2024-04-05 21:15:56
7965434,23,893,2024-04-05 21:17:13
26981,2128,20759,2024-04-05 21:19:41
