company_id,speciality
729238,IT
729238,Consulting
729238,BPO
729238,RPO
2934678,Contingent Staffing
2934678,Direct Hire
2934678,Workforce Management Solutions
2934678,Outsourcing
2934678,Technology 
2934678,Finance and Accounting
2934678,FinTech
2934678,Information Technology
2934678,Administrative
2934678,Payroll
2934678,Franchising 
2934678,Java
2934678,Blockchain
2934678,SalesForce
2934678,technology services
2934678,talent management
2934678,Azure
2934678,Data Engineering
2934678,AWS
15984730,ERP
15984730,PeopleSoft
15984730,Enterprise Automation Testing
15984730,PeopleSoft Campus Solutions
15984730,Human Capital Management
15984730,Financial Supply Chain Management
15984730,DW/BI
15984730,Augmented Reality
15984730,Virtual Reality
15984730,Cybersecurity
15984730,Cloud Hosting
15984730,Lean On IT Services
15984730,Advanced Analytics
15984730,Mobile App Development
15984730,Web App Development
15984730,Big Data
15984730,Artificial Intelligence
15984730,Executive Search
15984730,Staff Augmentation
6618000,TECHNOLOGY SOLUTIONS MANAGEMENT
6618000,GLOBAL EXECUTIVE RECRUITING
6618000,IT PROFESSIONAL RECRUITING
6618000,MANAGED SERVICES
75056372,Legal
75056372,Regulatory
75056372,Talent
24440,Total Talent Solutions
24440,Tech Consulting Services
24440,Advisory and Implementation
24440,Direct Hire Recruitment
24440,Software Engineering Solutions
24440,Platform Modernization and Integration
24440,Data Modernization
24440,Customized Training and Talent Development
24440,Project-Based Services
24440,Talent Development
24440,"Cloud Enablement and Migration,"
4787,IT Staffing
4787,Workforce Solutions
4787,Consulting Services
4787,Career Resources
74827,ERP
74827,CRM
74827,SAP
74827,PEOPLESOFT
74827,ORACLE
74827,LAWSON
74827,JD EDWARDS
74827,MICROSOFT DYNAMICS
74827,Cloud
74827,ERP Consulting
74827,CRM Consulting
74827,BI Consulting
74827,SAP Consulting
74827,Staff Augmentation
74827,Cloud Migration
74827,S/4HANA
74827,Office 365
74827,Oracle Consulting
74827,RPA
74827,AI
261933,Talent Acquisition & Retention
261933,HR Managed Services
261933,End-to-End Mobility Solutions
261933,Engineering Services
261933,Cloud
261933,Data and Analytics
261933,Digital Transformation
164376,Product Engineering Services
164376,Business Application Services
164376,Data Sciences
164376,Cloud Enablement
164376,Artificial Intelligence
164376,Machine Learning
164376,Intelligent Process Automation
164376,Consulting Services
164376,Healthcare Business Solutions
164376,Talent Solutions
164376,Workforce Management Solutions
164376,Digital Transformation
13345578,staffing
13345578,H1B sponsorship
13345578,software services
27021761,IT consulting
27021761,IT development
27021761,IT architecture
27021761,b2b software developers 
27021761,self-serve BI
27021761,business intelligence
27021761,IT staffing
27021761,IT advisory
27021761,application development
27021761,data governance & security
27021761,AHRQ Quality Indicators
27021761,cognitive analytics
27021761,data security
27021761,RPA
53255,I.T. professional services
53255,Contracting
53255,Recruitment
53255,Staffing
53255,Consulting
146782,IT
146782,Engineering
146782,Digital
146782,Life Sciences 
146782,Consulting
