job_id,inferred,type
3884916106,0,Medical insurance
3884916106,0,Vision insurance
3884916106,0,Dental insurance
3884916106,0,401(k)
3884916106,0,Disability insurance
3884915161,0,Medical insurance
3884915161,0,Vision insurance
3884915161,0,Dental insurance
3884915161,0,401(k)
3884915161,0,Disability insurance
3887474296,1,401(k)
3884915359,0,Medical insurance
3884915359,0,Vision insurance
3884915359,0,Dental insurance
3884915359,0,401(k)
3884915359,0,Disability insurance
3884915359,0,Paid maternity leave
3884915359,0,Paid paternity leave
3884915359,0,Tuition assistance
3887473578,0,Medical insurance
3887473578,0,Vision insurance
3887473578,0,Dental insurance
3887473578,0,401(k)
3800272386,1,Vision insurance
3800272386,1,Medical insurance
3800272386,1,Dental insurance
3800272386,1,401(k)
3800272386,1,Paid maternity leave
3800272386,1,Paid paternity leave
3800272386,1,Disability insurance
3884431973,1,401(k)
3884435199,1,Vision insurance
3887496603,1,401(k)
3887496603,1,Disability insurance
3887701056,1,401(k)
3887701056,1,Disability insurance
3884431807,0,Medical insurance
3884431807,0,Vision insurance
3884431807,0,Dental insurance
3884431807,0,401(k)
3884431807,0,Paid maternity leave
3884431807,0,Paid paternity leave
3884431807,0,Commuter benefits
3884431807,0,Disability insurance
3884435931,0,Medical insurance
3884435931,0,Vision insurance
3884435931,0,Dental insurance
3884435931,0,401(k)
3887497009,1,Tuition assistance
3887496599,1,401(k)
3887496599,1,Disability insurance
3887498577,1,401(k)
3887498577,1,Disability insurance
3887715456,1,401(k)
3884432826,1,401(k)
3884432826,1,Medical insurance
3884441796,0,Medical insurance
3884441796,0,Vision insurance
3884441796,0,Dental insurance
3884441796,0,401(k)
3884441796,0,Paid paternity leave
3884441796,0,Paid maternity leave
3884441796,0,Child care support
3884441796,0,Disability insurance
3884441796,0,Tuition assistance
3887701059,1,401(k)
3887701059,1,Disability insurance
3887497608,1,401(k)
3887497608,1,Disability insurance
3887496592,1,401(k)
3887496592,1,Disability insurance
3884994017,1,401(k)
3887499529,1,401(k)
3887499529,1,Disability insurance
3884433956,0,Medical insurance
3884433956,0,Vision insurance
3884433956,0,Dental insurance
3884442367,0,401(k)
3884442367,0,Medical insurance
3884442367,0,Vision insurance
3884442367,0,Dental insurance
3887701070,1,401(k)
3887701070,1,Disability insurance
3887702035,1,401(k)
3887702035,1,Disability insurance
3884438770,1,401(k)
3884438770,1,Disability insurance
3887495742,1,401(k)
3887495742,1,Disability insurance
3887706972,0,Medical insurance
3887706972,0,Vision insurance
3887706972,0,Dental insurance
3887706972,0,401(k)
3887706972,0,Paid maternity leave
3884991614,1,401(k)
3887701067,1,401(k)
3887701067,1,Disability insurance
3884993240,1,Tuition assistance
3887711392,1,401(k)
3884992280,1,401(k)
3887833834,0,Medical insurance
3887833834,0,Vision insurance
3887833834,0,Dental insurance
3887833834,0,401(k)
3887712954,1,401(k)
3887838645,1,401(k)
3887495752,1,401(k)
3887495752,1,Disability insurance
3884437640,1,Medical insurance
3884437640,1,Vision insurance
3884437640,1,Dental insurance
3887498581,1,401(k)
3887498581,1,Disability insurance
3884805577,1,401(k)
3884805577,1,Paid paternity leave
3887832912,0,Medical insurance
3887832912,0,Vision insurance
3887832912,0,Dental insurance
3887832912,0,401(k)
3887846287,1,Vision insurance
3887846287,1,Disability insurance
3887832873,0,Medical insurance
3887832873,0,Vision insurance
3887832873,0,Dental insurance
3887832873,0,401(k)
3887702227,1,401(k)
3887702227,1,Disability insurance
3884812706,1,401(k)
3884440631,0,Medical insurance
3884440631,0,Vision insurance
3884440631,0,Dental insurance
3884440631,0,401(k)
3884440631,0,Paid maternity leave
3884440631,0,Paid paternity leave
3884440631,0,Commuter benefits
3884441842,1,Vision insurance
3887719098,1,401(k)
3887831873,0,Medical insurance
3887831873,0,Vision insurance
3887831873,0,Dental insurance
3887831873,0,401(k)
3884993194,1,401(k)
3887488834,1,401(k)
3887488834,1,Disability insurance
3887870493,1,401(k)
3887870493,1,Disability insurance
3884819067,1,401(k)
3887496604,1,401(k)
3887496604,1,Disability insurance
3884816076,1,401(k)
3884802797,0,Medical insurance
3884802797,0,Vision insurance
3884802797,0,Dental insurance
3884802797,0,401(k)
3887882039,1,401(k)
3887853674,0,Medical insurance
3887853674,0,Vision insurance
3887853674,0,Dental insurance
3887853674,0,401(k)
3887880163,1,401(k)
3887880164,1,401(k)
3887880164,1,Medical insurance
3884814321,1,401(k)
3887872042,1,401(k)
3887872042,1,Disability insurance
3884820141,1,401(k)
3887700486,1,401(k)
3887700486,1,Disability insurance
3887868787,1,401(k)
3887868787,1,Disability insurance
3885826872,1,Medical insurance
3887713771,1,Disability insurance
3884831974,1,401(k)
3885834305,1,Vision insurance
3885834305,1,401(k)
3884838225,1,401(k)
3887701058,1,401(k)
3887701058,1,Disability insurance
3885813301,1,401(k)
3885813301,1,Commuter benefits
3887875965,1,401(k)
3887702097,1,401(k)
3887702097,1,Disability insurance
3884847058,1,401(k)
3884837302,1,401(k)
3884928646,1,401(k)
3884928646,1,Commuter benefits
3884928646,1,Disability insurance
3887495763,1,Vision insurance
3884813869,0,Medical insurance
3884813869,0,Vision insurance
3884813869,0,Dental insurance
3884813869,0,401(k)
3884813869,0,Tuition assistance
3885832533,1,401(k)
3887705770,1,401(k)
3885826857,1,401(k)
3887874850,1,401(k)
3885852888,1,Vision insurance
3885852888,1,401(k)
3885852888,1,Disability insurance
3885856882,1,Vision insurance
3885860817,0,Medical insurance
3885860817,0,Vision insurance
3885860817,0,Dental insurance
3885860817,0,401(k)
3885860817,0,Disability insurance
3884438824,1,Tuition assistance
3885827501,1,Medical insurance
3885827501,1,Disability insurance
3885838582,1,Medical insurance
3885838582,1,401(k)
3887875887,1,401(k)
3885866755,0,Medical insurance
3885866755,0,Vision insurance
3885866755,0,Dental insurance
3885866755,0,401(k)
3887710801,1,Dental insurance
3887868800,1,401(k)
3887868800,1,Disability insurance
3885855977,1,401(k)
3885855977,1,Tuition assistance
3885840041,1,401(k)
3885840041,1,Vision insurance
3885868290,0,Medical insurance
3885868290,0,Vision insurance
3885868290,0,Dental insurance
3885868290,0,401(k)
3885868290,0,Disability insurance
3885853965,1,Disability insurance
3885858721,1,Vision insurance
3885858721,1,Commuter benefits
3885865661,0,Medical insurance
3885865661,0,Vision insurance
3885865661,0,Dental insurance
3885865661,0,401(k)
3885862246,0,Medical insurance
3885862246,0,Vision insurance
3885862246,0,Dental insurance
3885862246,0,401(k)
3887880158,1,401(k)
3885864815,0,Medical insurance
3885864815,0,Vision insurance
3885864815,0,Dental insurance
3885864815,0,401(k)
3885853974,1,Disability insurance
3885871087,0,Medical insurance
3885871087,0,Vision insurance
3885871087,0,Dental insurance
3885871087,0,401(k)
3885864028,1,401(k)
3884857557,0,401(k)
3884857557,0,Medical insurance
3884857557,0,Vision insurance
3884857557,0,Dental insurance
3887878862,1,Disability insurance
3885864801,0,Medical insurance
3885864801,0,Vision insurance
3885864801,0,Dental insurance
3885864801,0,401(k)
3887868799,1,401(k)
3887868799,1,Disability insurance
3885856867,1,401(k)
3885856867,1,Tuition assistance
3885859338,1,401(k)
3885859338,1,Disability insurance
3887870500,1,401(k)
3887870500,1,Disability insurance
3884813777,1,401(k)
3885831578,1,401(k)
3885854800,1,Disability insurance
3885838588,1,401(k)
3888008539,1,401(k)
3886205419,1,Dental insurance
3888020701,1,Vision insurance
3888020701,1,401(k)
3885106434,1,Medical insurance
3885111361,1,Dental insurance
3888028813,0,Medical insurance
3888028813,0,Vision insurance
3888028813,0,Dental insurance
3888031642,1,401(k)
3888031642,1,Dental insurance
3888031642,1,Medical insurance
3888031642,1,Vision insurance
3888027971,0,Medical insurance
3888027971,0,Vision insurance
3888027971,0,401(k)
3888027971,0,Dental insurance
3888027971,0,Commuter benefits
3888027971,0,Disability insurance
3888030859,0,Medical insurance
3888030859,0,Vision insurance
3888030859,0,Dental insurance
3888030859,0,401(k)
3888030859,0,Commuter benefits
3888030859,0,Disability insurance
3888034350,0,Medical insurance
3888034350,0,Vision insurance
3888034350,0,Dental insurance
3888034350,0,401(k)
3888034350,0,Commuter benefits
3888034350,0,Disability insurance
3888028977,0,Vision insurance
3888028977,0,Medical insurance
3888028977,0,Dental insurance
3888028977,0,401(k)
3888028977,0,Commuter benefits
3888028977,0,Disability insurance
3888030861,0,Medical insurance
3888030861,0,Vision insurance
3888030861,0,Dental insurance
3888030861,0,401(k)
3888030861,0,Commuter benefits
3888030861,0,Disability insurance
3888034351,0,Medical insurance
3888034351,0,Vision insurance
3888034351,0,Dental insurance
3888034351,0,401(k)
3888034351,0,Commuter benefits
3888034351,0,Disability insurance
3888032631,0,Medical insurance
3888032631,0,Vision insurance
3888032631,0,Dental insurance
3888032631,0,401(k)
3888032631,0,Commuter benefits
3888032631,0,Disability insurance
3888030865,0,Medical insurance
3888030865,0,Vision insurance
3888030865,0,Dental insurance
3888030865,0,401(k)
3888030865,0,Commuter benefits
3888030865,0,Disability insurance
3888032635,0,Medical insurance
3888032635,0,Vision insurance
3888032635,0,Dental insurance
3888032635,0,401(k)
3888032635,0,Disability insurance
3888032635,0,Commuter benefits
3885109789,0,Medical insurance
3885109789,0,Dental insurance
3885109789,0,401(k)
3885109789,0,Vision insurance
3885109789,0,Commuter benefits
3885109789,0,Disability insurance
3885108852,0,Medical insurance
3885108852,0,Vision insurance
3885108852,0,Dental insurance
3885108852,0,401(k)
3885108852,0,Commuter benefits
3885108852,0,Disability insurance
3885112309,0,Medical insurance
3885112309,0,Vision insurance
3885112309,0,Dental insurance
3885112309,0,401(k)
3885112385,1,Vision insurance
3885112385,1,401(k)
3885112385,1,Commuter benefits
3888033729,1,401(k)
3888033726,1,401(k)
3888943283,1,401(k)
3886454482,0,Medical insurance
3886454482,0,401(k)
3886454482,0,Commuter benefits
3886454482,1,Disability insurance
3887573896,1,Vision insurance
3887575314,1,401(k)
3887575314,1,Dental insurance
3888944107,1,401(k)
3887582011,1,401(k)
3888963506,1,Vision insurance
3888963506,1,401(k)
3888967138,1,401(k)
3888967138,1,Disability insurance
3887588714,1,401(k)
3887588714,1,Disability insurance
3886457144,1,401(k)
3887581873,1,Paid paternity leave
3887581873,1,401(k)
3888940734,1,401(k)
3887595578,1,401(k)
3888979085,1,401(k)
3888979085,1,Commuter benefits
3887594234,1,401(k)
3889112541,1,Vision insurance
3889101627,1,401(k)
3887599502,1,Paid paternity leave
3887588762,1,401(k)
3887588986,1,401(k)
3887599719,1,Vision insurance
3887599719,1,Commuter benefits
3889123808,1,Pension plan
3889103440,1,Vision insurance
3889103440,1,401(k)
3889103440,1,Paid paternity leave
3888962756,1,401(k)
3888962756,1,Medical insurance
3889108444,1,401(k)
3888965008,1,401(k)
3888965008,1,Vision insurance
3889106665,1,401(k)
3888972413,1,401(k)
3886450755,1,401(k)
3887916439,1,Vision insurance
3887916439,1,401(k)
3887916439,1,Disability insurance
3886468635,1,Vision insurance
3886468635,1,Commuter benefits
3886468635,1,401(k)
3889131116,1,401(k)
3889131116,1,Disability insurance
3889114299,0,Medical insurance
3889114299,0,Dental insurance
3889114299,0,Vision insurance
3889114299,0,401(k)
3889114299,0,Commuter benefits
3889114299,0,Disability insurance
3888962523,1,Vision insurance
3888962523,1,401(k)
3887591851,1,401(k)
3888982731,1,Dental insurance
3888982731,1,Disability insurance
3888982731,1,Medical insurance
3888982731,1,Vision insurance
3889148724,1,Vision insurance
3889148724,1,401(k)
3889104212,1,401(k)
3889104212,1,Dental insurance
3889104212,1,Medical insurance
3889104212,1,Vision insurance
3888960508,1,401(k)
3886453735,1,401(k)
3886462970,1,Vision insurance
3886462970,1,Commuter benefits
3886462970,1,401(k)
3889128204,1,Pension plan
3889122361,1,Disability insurance
3889122361,1,401(k)
3889109198,1,401(k)
3887910367,1,401(k)
3887589658,1,401(k)
3887592218,1,401(k)
3889125131,1,401(k)
3889107486,1,401(k)
3886469598,1,Vision insurance
3886469598,1,Commuter benefits
3886469598,1,401(k)
3889262867,1,401(k)
3889284526,1,401(k)
3889280914,1,401(k)
3889279927,1,401(k)
3889279927,1,Disability insurance
3889284700,1,401(k)
3889284700,1,Disability insurance
3889290008,1,401(k)
3889290008,1,Disability insurance
3889287211,1,401(k)
3889287211,1,Disability insurance
3889284710,1,401(k)
3889284710,1,Disability insurance
3889286661,1,Medical insurance
3889290002,1,401(k)
3889290002,1,Disability insurance
3889289079,1,401(k)
3889289079,1,Disability insurance
3889287226,1,401(k)
3889287226,1,Disability insurance
3889288206,1,401(k)
3889288206,1,Disability insurance
3889286262,1,401(k)
3889286262,1,Disability insurance
3889288208,1,401(k)
3889288208,1,Disability insurance
3889287227,1,401(k)
3889287227,1,Disability insurance
3889284716,1,401(k)
3889284716,1,Disability insurance
3889289089,1,401(k)
3889289089,1,Disability insurance
3887956332,1,401(k)
3889412594,1,401(k)
3887992550,1,Dental insurance
3887992550,1,Medical insurance
3886845634,0,Medical insurance
3886845634,0,Vision insurance
3886845634,0,Dental insurance
3886845634,0,401(k)
3887995323,1,401(k)
3889420811,1,401(k)
3889422358,1,401(k)
3889422358,1,Disability insurance
3889418629,1,401(k)
3889418629,1,Disability insurance
3889418845,1,401(k)
3889418845,1,Commuter benefits
3889418845,1,Disability insurance
3889422495,1,401(k)
3889422623,1,401(k)
3889419848,1,Vision insurance
3889419848,1,401(k)
3887998133,1,Medical insurance
3889424281,1,401(k)
3889424281,1,Commuter benefits
3889426016,1,Vision insurance
3889420511,1,401(k)
3889420511,1,Disability insurance
3886843933,0,Medical insurance
3886843933,0,Vision insurance
3886843933,0,Dental insurance
3889419896,1,401(k)
3889419583,1,401(k)
3889419583,1,Disability insurance
3889442585,0,401(k)
3886849367,0,Medical insurance
3886849367,0,Vision insurance
3886849367,0,Dental insurance
3886849352,1,401(k)
3886847382,1,401(k)
3888412446,1,401(k)
3888410413,1,401(k)
3888403636,1,Dental insurance
3888403636,1,Medical insurance
3888410424,1,401(k)
3888437062,1,401(k)
3888438140,1,Disability insurance
3888474636,0,401(k)
3888474636,0,Medical insurance
3888474636,0,Dental insurance
3888434357,1,401(k)
3888436243,1,401(k)
3888436243,1,Disability insurance
3888436234,1,401(k)
3888401963,1,Vision insurance
3888401963,1,401(k)
3888401963,1,Tuition assistance
3888401963,1,Disability insurance
3888432790,1,401(k)
3888432790,1,Disability insurance
3889486847,1,401(k)
3888472990,1,401(k)
3888482202,1,401(k)
3888478400,1,401(k)
3889499270,1,Disability insurance
3888474810,1,401(k)
3888474810,1,Disability insurance
3888478398,1,401(k)
3889702032,1,Disability insurance
3889710607,0,Medical insurance
3889752118,1,Medical insurance
3888486857,1,Medical insurance
3888486857,1,Dental insurance
3888486857,1,401(k)
3886879484,1,Medical insurance
3889712837,0,Medical insurance
3889712837,0,Vision insurance
3889712837,0,Dental insurance
3889712837,0,401(k)
3889713231,0,Medical insurance
3886894534,0,Medical insurance
3886894534,0,Vision insurance
3886894534,0,Dental insurance
3886899385,0,Medical insurance
3886899385,0,Vision insurance
3886899385,0,Dental insurance
3886899385,0,401(k)
3886888536,1,401(k)
3886885986,0,Medical insurance
3886885986,0,Vision insurance
3886885986,0,Dental insurance
3886885986,0,Tuition assistance
3886885986,0,Pension plan
3889706993,0,Medical insurance
3886888689,0,Medical insurance
3886888689,0,Vision insurance
3886888689,0,Dental insurance
3886888689,0,401(k)
3889740264,0,Medical insurance
3889740264,0,Vision insurance
3889740264,0,Dental insurance
3889740264,0,401(k)
3888825732,1,Medical insurance
3888825732,1,401(k)
3887102720,0,Medical insurance
3887102720,0,Vision insurance
3887102720,0,Dental insurance
3887102720,0,401(k)
3888818903,1,Vision insurance
3888818903,1,Disability insurance
3889761307,0,Medical insurance
3889761307,0,Vision insurance
3889761307,0,Dental insurance
3889761307,0,401(k)
3888805479,0,Medical insurance
3888805479,0,Vision insurance
3888805479,0,Dental insurance
3888805479,0,401(k)
3888805479,0,Tuition assistance
3886889132,1,401(k)
3886889132,1,Disability insurance
3886894861,1,401(k)
3886894861,1,Commuter benefits
3886894861,1,Disability insurance
3886877951,1,Medical insurance
3889760416,0,Medical insurance
3889760416,0,401(k)
3889760416,0,Vision insurance
3889760416,0,Dental insurance
3889743515,0,Medical insurance
3889743515,0,Dental insurance
3889743515,0,401(k)
3889743515,0,Vision insurance
3889743515,0,Pension plan
3889743515,0,Paid maternity leave
3889743515,0,Paid paternity leave
3889743515,1,Commuter benefits
3889769487,0,Medical insurance
3889769487,0,Vision insurance
3889769487,0,Dental insurance
3889769487,0,401(k)
3886887463,1,Vision insurance
3889711843,1,401(k)
3889711843,1,Medical insurance
3886882309,1,Medical insurance
3889705611,0,Medical insurance
3889705611,0,Vision insurance
3889705611,0,Dental insurance
3889705611,0,401(k)
3886895601,1,Vision insurance
3888490633,1,401(k)
3889709723,0,Medical insurance
